Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g)
"Pomme de terre, appertisée, égouttée",55.74,1.47,84.3,11.7,0.34
"Pomme de terre, bouillie/cuite à l'eau",77.06,1.8,78.3,16.7,0.34
"Pomme de terre, cuite (aliment moyen)",86.78,1.97,78.0,17.7,0.9
"Pomme de terre, flocons déshydratés, au lait ou à la crème",353.73,10.1,6.21,69.4,3.97
"Pomme de terre, flocons déshydratés, nature",340.7,8.04,5.09,76.1,0.46
"Pomme de terre, purée (aliment moyen)",81.7,2.15,79.2,12.2,2.7
"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée",63.69,2.63,82.8,12.1,0.53
"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse",95.1,1.92,77.8,10.2,5.18
"Pomme de terre, purée, avec lait et beurre, non salée",85.96,1.89,77.0,14.2,2.4
"Pomme de terre, rôtie/cuite au four",85.17,2.5,74.9,18.5,0.13
"Pomme de terre, sans peau, crue",70.02,1.9,79.0,15.2,0.18
"Pomme de terre, sans peau, cuite au four",89.1,1.95,75.4,20.1,0.1
"Pomme de terre, sautée/poêlée",120.77,2.33,0.0,20.1,3.45
"Pomme Golden, pulpe et peau, crue",44.8,0.0,85.5,11.2,0.0
"Pomme, pulpe et peau, crue",49.65,0.25,85.4,11.6,0.25
"Pomme, pulpe, bouillie/cuite à l'eau",49.08,0.26,85.5,11.2,0.36
"Pomme, pulpe, crue",44.85,0.22,86.7,10.7,0.13
"Pomme, pulpe, rôtie/cuite au four",84.0,0.0,75.6,21.0,0.0
"Pomme, sèche",234.71,0.78,31.8,57.2,0.31
Pont l'Évêque,322.6,21.7,47.9,0.0,26.2
"Pop-corn ou Maïs éclaté, à l'air, non salé",389.9,10.1,3.32,59.7,12.3
"Pop-corn ou Maïs éclaté, à l'huile, salé",444.3,11.0,2.95,57.1,19.1
"Pop-corn ou Maïs éclaté, au caramel",412.45,4.33,2.0,80.4,8.17
Porc au caramel,134.2,10.0,70.7,11.4,5.4
"Porc, bardière découennée, crue",743.84,4.51,16.1,0.1,80.6
"Porc, carré, cru",145.86,22.7,70.3,0.4,5.94
"Porc, carré, cuit",205.85,34.1,57.5,0.6,7.45
"Porc, côte, crue",164.42,19.8,69.5,0.38,9.3
"Porc, côte, grillée",242.2,25.9,60.4,0.0,15.4
"Porc, couenne, crue",256.1,35.0,53.6,0.0,12.9
"Porc, échine, crue",198.0,18.0,63.0,0.0,14.0
"Porc, échine, rôtie/cuite au four",295.6,26.2,51.5,0.0,21.2
"Porc, épaule, crue",177.92,18.9,69.6,0.38,11.2
"Porc, épaule, cuite",253.2,30.0,54.7,0.0,14.8
"Porc, escalope de jambon, crue",128.84,21.5,74.4,0.0,4.76
"Porc, escalope de jambon, cuite",199.8,36.0,0.0,0.0,6.2
"Porc, filet mignon, cru",123.21,21.2,74.9,0.4,4.09
"Porc, filet mignon, cuit",168.3,26.1,0.0,0.0,7.1
"Porc, filet, maigre, cru",117.2,21.2,74.4,0.0,3.6
"Porc, filet, maigre, en rôti, cuit",197.71,28.3,59.7,0.0,9.39
"Porc, gorge, découennée, crue",474.46,11.6,40.3,0.14,47.5
"Porc, hachage sans jarret, sans bateau, découenné, dégraisssé, désossé, cru",187.22,18.9,68.7,0.23,12.3
"Porc, jambon sans jarret, sans bateau, découenné, dégraisssé, désossé, cru",141.42,20.9,72.3,0.28,6.3
"Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru",147.71,20.2,72.2,0.28,7.31
"Porc, jarret, cru",187.6,19.9,67.7,0.0,12.0
"Porc, longe, crue",175.21,20.8,67.7,0.75,9.89
"Porc, longe, cuite",240.7,27.1,57.5,0.0,14.7
"Porc, maigre 80/20, cru",292.54,17.3,60.1,0.26,24.7
"Porc, maigre 90/10, cru",212.06,18.8,64.6,0.24,15.1
"Porc, palette, découennée, dégraisssée, désossée, crue",174.2,19.9,70.4,0.25,10.4
"Porc, poitrine cutter, sans mouille, crue",322.78,15.9,55.9,0.22,28.7
"Porc, poitrine, crue",252.5,17.0,59.8,0.0,20.5
"Porc, rôti filet avec chaînette, cru",146.48,22.3,70.4,0.37,6.2
"Porc, rôti, cru",152.94,22.3,70.1,0.5,6.86
"Porc, rôti, cuit",163.39,30.5,63.8,0.65,4.31
"Porc, rouelle de jambon, crue",148.84,20.2,71.2,0.0,7.56
"Porc, rouelle de jambon, cuite",265.5,36.9,48.6,0.0,13.1
"Porc, travers, braisé",332.32,23.1,49.4,0.13,26.6
"Porc, travers, cru",236.4,18.0,61.9,0.6,18.0
"Porc, viande, cuite (aliment moyen)",214.66,28.0,59.8,0.24,11.3
"Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites",135.35,2.54,68.2,19.8,5.11
Pot-au-feu,74.58,10.9,82.9,3.2,2.02
Potée auvergnate (chou et porc),82.22,6.48,82.0,4.85,4.1
"Potimarron, pulpe, cru",15.82,0.63,94.6,3.1,0.1
"Potiron, appertisé, égoutté",26.6,0.83,85.9,5.19,0.28
"Potiron, cru",18.9,1.0,91.6,3.5,0.1
"Potiron, cuit",21.87,0.81,92.0,4.5,0.07
"Poudre cacaotée ou au chocolat pour boisson, sucrée",358.61,6.65,1.67,75.6,3.29
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",375.52,4.29,2.0,85.0,2.04
"Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux",363.28,4.68,0.0,79.3,3.04
Poudre cacaotée pour bébé,391.1,8.5,1.2,85.0,1.9
"Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux",402.47,9.9,2.25,79.4,5.03
"Poule, cuisse, crue",131.68,19.6,74.4,0.0,5.92
"Poule, viande ,crue",124.19,20.9,73.7,0.0,4.51
"Poule, viande et peau, crue",215.0,17.8,63.7,0.4,15.8
"Poulet (var. blanc), viande et peau, cru",123.5,21.2,72.1,0.0,4.3
Poulet au curry et au lait de coco,127.5,13.2,75.2,3.15,6.9
Poulet basquaise,104.8,9.3,0.0,2.5,6.4
"Poulet éviscéré sans abats, cru",210.3,18.6,0.0,0.0,15.1
"Poulet fermier, viande et peau, cru",135.4,21.5,67.5,0.2,5.4
"Poulet, aile, viande et peau, cru",172.6,18.4,66.9,0.0,11.0
"Poulet, aile, viande et peau, rôti/cuit au four",247.3,23.8,59.4,0.0,16.9
"Poulet, blanc, sans peau, cru",94.0,23.5,0.0,0.0,0.0
"Poulet, blanc, sans peau, cuit",116.8,29.2,0.0,0.0,0.0
"Poulet, croquette panée ou Nuggets",234.1,12.0,0.0,19.3,12.1
"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau",180.7,24.7,64.1,0.0,9.1
"Poulet, cuisse, viande et peau, cru",187.42,18.0,69.1,2.08,11.9
"Poulet, cuisse, viande et peau, rôtie/cuite au four",213.3,25.9,62.2,2.0,11.3
"Poulet, cuisse, viande, bouilli/cuit à l'eau",187.68,24.8,64.3,0.7,9.52
"Poulet, cuisse, viande, cru",113.65,19.3,76.0,0.0,4.05
"Poulet, cuisse, viande, rôti/cuit au four",171.47,24.8,66.9,0.0,8.03
"Poulet, escalope panée",331.8,7.25,41.8,21.7,24.0
"Poulet, filet, sans peau, cru",107.86,23.5,74.3,0.45,1.34
"Poulet, filet, sans peau, cuit",137.44,29.2,67.4,1.2,1.76
"Poulet, haut de cuisse, viande, cru",115.88,19.7,76.2,0.0,4.12
"Poulet, manchons marinés, rôtis/cuits au four",211.4,22.4,60.2,2.1,12.6
"Poulet, pilon, cru",155.05,18.4,71.7,0.0,9.05
"Poulet, poitrine, viande et peau, cru",157.12,21.1,69.7,0.0,8.08
"Poulet, poitrine, viande et peau, rôti/cuit au four",189.22,29.8,62.4,0.0,7.78
"Poulet, viande et peau, cru",172.9,20.2,68.1,0.3,10.1
"Poulet, viande et peau, rôti/cuit au four",212.92,28.9,59.7,2.1,9.88
"Poulet, viande, crue",113.57,20.0,74.6,0.0,3.73
Pouligny Saint-Pierre (fromage de chèvre),296.1,18.9,52.7,0.0,24.5
"Poulpe, cru",59.98,12.9,85.4,0.97,0.5
"Poulpe, cuit",155.52,29.8,60.5,4.4,2.08
"Préparation culinaire à base de soja, type ""crème de soja""",153.42,3.25,78.5,2.03,14.7
Préparation pour mousse au chocolat,443.0,12.0,2.4,65.0,15.0
Préparation pour pâte à pizza,371.02,9.03,9.7,69.1,6.5
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",44.22,2.4,85.7,8.48,0.078
Profiterole avec glace vanille et sauce chocolat,256.06,6.24,50.9,26.5,13.9
"Profiteroles (crème pâtissière et sauce chocolat), rayon frais",269.04,5.51,44.6,34.3,12.2
Provolone,341.8,25.6,41.0,0.0,26.6
"Prune Reine-Claude, crue",47.74,0.81,81.8,10.9,0.1
"Prune, crue",40.57,0.66,87.0,8.83,0.29
"Pruneau, sec",238.51,2.51,24.3,55.7,0.63
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""",55.98,0.43,85.1,12.8,0.34
Quatre épices,304.57,6.09,8.46,50.5,8.69
"Quatre-quarts ou barre pâtissière, préemballé",396.44,5.76,24.2,46.1,21.0
"Quenelle de poisson, crue",241.1,8.1,52.3,23.6,12.7
"Quenelle de poisson, en sauce",133.75,3.79,0.0,10.5,8.51
"Quenelle de veau, en sauce",161.98,3.52,68.8,15.6,9.5
"Quenelle de volaille, crue",184.78,9.37,0.0,14.1,10.1
"Quenelle de volaille, en sauce",135.68,3.55,0.0,10.3,8.92
"Quenelle nature, crue",213.22,7.68,0.0,14.8,13.7
Quiche lorraine,271.04,8.96,53.2,21.0,16.8
"Quinoa, bouilli/cuit à l'eau, non salé",108.88,4.1,71.6,18.8,1.92
"Quinoa, cru",339.43,13.1,13.3,58.1,6.07
Raclette (fromage),346.8,24.6,44.0,0.0,27.6
"Radis noir, cru",16.0,0.9,93.6,3.1,0.0
"Radis rouge, cru",8.9,0.76,95.9,1.24,0.1
"Raie, crue",89.83,21.4,76.8,0.0,0.47
"Raie, cuite au court-bouillon",97.93,23.2,73.7,0.0,0.57
"Raie, rôtie/cuite au four",96.5,23.0,75.9,0.0,0.5
"Raifort, cru",88.3,7.5,72.5,13.0,0.7
"Raisin blanc, à gros grain (type Italia ou Dattier), cru",68.92,0.63,80.9,16.6,0.0
"Raisin noir, cru",68.4,0.6,84.0,15.6,0.4
"Raisin, cru",67.12,0.72,80.5,15.7,0.16
"Raisin, sec",262.37,2.09,17.4,62.4,0.49
"Rascasse, crue",87.17,18.8,78.9,0.0,1.33
"Rascasse, cuite à la vapeur",126.3,24.6,71.7,0.0,3.1
Ratatouille cuisinée,50.51,1.22,88.0,4.32,3.15
"Ravioli à la viande, sauce tomate, appertisé",86.75,4.22,79.1,11.1,2.83
"Ravioli chinois à la vapeur à la crevette, cuit",159.1,5.5,62.3,21.9,5.5
"Raviolis aux légumes, sauce tomate, appertisés",86.21,2.94,78.5,13.1,2.45
Reblochon,328.2,20.4,49.1,0.0,27.4
"Requin, cru",110.19,21.0,73.6,0.0,2.91
"Rhubarbe, tige, crue",10.99,0.76,92.0,1.47,0.23
"Rhubarbe, tige, cuite, sucrée",118.77,0.38,67.4,29.2,0.05
Rhum,0.12,0.0,64.5,0.031,0.0
Ricotta,158.26,8.79,71.7,4.0,11.9
Rillettes de canard,416.66,15.4,44.4,0.34,39.3
Rillettes de crabe,185.2,12.2,0.0,3.5,13.6
Rillettes de maquereau,246.0,11.0,0.0,1.0,22.0
Rillettes de poisson,243.1,13.9,59.9,0.3,20.7
Rillettes de poulet,340.26,16.4,52.2,0.49,30.3
Rillettes de saumon,234.0,15.1,62.8,2.0,18.4
Rillettes de thon,196.4,16.4,63.5,1.65,13.8
Rillettes de Tours,522.0,18.0,0.0,0.0,50.0
Rillettes d'oie,459.3,17.6,40.6,0.7,42.9
Rillettes du Mans,419.6,15.6,40.0,4.7,37.6
Rillettes pur oie,417.0,14.7,0.0,0.0,39.8
Rillettes pur porc,401.9,14.3,44.0,0.0,38.3
Rillettes traditionnelles de porc,390.1,14.3,46.3,0.2,36.9
"Ris, agneau, cru",131.16,14.6,74.6,2.35,7.04
"Ris, agneau, cuit",228.1,22.8,59.7,0.25,15.1
"Ris, veau, braisé ou sauté/poêlé",148.64,21.0,67.2,3.11,5.8
"Ris, veau, cru",101.46,17.4,76.6,1.17,3.02
"Risotto, aux fromages",192.64,5.65,0.0,30.9,5.16
"Risotto, aux fruits de mer",126.51,5.47,0.0,12.5,6.07
"Risotto, aux légumes",122.06,3.63,74.0,15.5,5.06
"Riste d'aubergines (aubergines, tomates, oignons)",140.2,1.05,0.0,10.6,10.4
"Riz au lait, rayon frais",125.65,3.34,71.5,21.3,3.01
"Riz blanc étuvé, cru",351.66,7.11,11.3,78.6,0.98
"Riz blanc étuvé, cuit, non salé",143.64,2.95,63.5,31.7,0.56
"Riz blanc, cru",348.35,7.04,12.5,78.0,0.91
"Riz blanc, cuit, avec légumes et viande",163.77,4.61,0.0,28.3,3.57
"Riz blanc, cuit, avec poulet",171.63,4.23,0.0,31.5,3.19
"Riz blanc, cuit, non salé",142.57,2.92,63.9,31.8,0.41
Riz cantonais,160.7,5.46,62.9,23.6,4.94
"Riz complet, cru",338.88,7.02,12.6,71.4,2.8
"Riz complet, cuit, non salé",152.24,3.21,60.4,32.6,1.0
"Riz rouge, cru",341.28,7.97,12.4,70.6,3.0
"Riz rouge, cuit, non salé",132.81,3.45,63.1,28.2,0.69
"Riz sauvage, cru",329.66,11.1,11.5,69.2,0.94
"Riz sauvage, cuit, non salé",97.06,3.8,73.9,19.7,0.34
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),380.6,6.0,2.8,84.2,2.2
"Riz soufflé chocolaté, enrichi en vitamines et minéraux",383.06,6.22,2.68,83.2,2.82
"Riz soufflé nature, enrichi en vitamines et minéraux",388.14,6.66,1.47,87.0,1.5
"Riz thaï ou basmati, cru",350.0,7.81,12.4,77.8,0.84
"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",350.68,7.32,12.2,78.1,1.0
Rocamadour (fromage de chèvre),280.5,18.6,57.3,0.0,22.9
Rocher chocolat fourré praliné,549.54,6.56,1.1,51.4,35.3
Rocher coco ou Congolais (petit gâteau à la noix de coco),449.54,4.46,13.1,53.7,24.1
"Rognon, agneau, braisé",139.26,23.7,68.5,2.97,3.62
"Rognon, agneau, cru",92.63,15.7,79.2,0.82,2.95
"Rognon, boeuf, cru",95.85,17.1,79.8,0.9,2.65
"Rognon, boeuf, cuit",171.0,27.0,66.9,0.0,7.0
"Rognon, cuit (aliment moyen)",163.55,26.5,67.1,0.37,6.23
"Rognon, porc, cru",94.81,16.4,79.1,0.26,3.13
"Rognon, porc, cuit",148.3,25.4,67.5,1.1,4.7
"Rognon, veau, braisé ou sauté/poêlé",167.0,26.0,67.7,0.0,7.0
"Rognon, veau, cru",94.84,16.0,78.0,2.4,2.36
"Romarin, frais",92.38,3.31,67.8,6.6,5.86
"Romarin, séché",242.32,4.88,9.31,21.5,15.2
Rond de jambon cuit,182.2,20.3,66.0,1.4,10.6
Roquefort,356.5,19.6,43.8,0.0,30.9
"Roquette, crue",24.66,2.58,91.7,2.1,0.66
Rosette ou Fuseau,380.26,24.2,34.9,1.79,30.7
Rostis ou Galette de pomme de terre,178.07,2.21,63.5,21.0,9.47
"Rôti de volaille en salaison, cuit",108.69,22.0,0.0,1.28,1.73
"Rouget-barbet de roche, cru",157.93,18.4,70.6,0.0,9.37
"Rouget-barbet de roche, vapeur",143.2,24.1,69.6,0.0,5.2
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)",96.7,16.3,0.0,0.0,3.5
Roulade de porc pistachée,268.4,17.7,54.5,3.95,20.2
Rouleau de printemps,106.66,4.57,73.9,18.0,1.82
"Roussette ou petite roussette ou saumonette, crue",97.7,23.3,75.2,0.0,0.5
"Roussette ou petite roussette ou saumonette, cuite",256.4,25.4,0.0,0.0,17.2
"Rutabaga, cru",28.65,1.17,89.5,5.7,0.13
"Rutabaga, cuit",22.38,0.93,91.5,4.26,0.18
Sablé à la noix de coco,475.3,7.1,2.72,66.5,20.1
"Sablé au cacao ou chocolat, au praliné ou autre",492.72,6.63,3.61,61.2,24.6
"Sablé aux fruits (pomme, fruits rouges, etc.)",480.0,5.85,0.0,66.0,21.4
Sablé pâtissier,477.22,8.38,5.0,59.4,22.9
"Sabre, cru",125.1,18.0,74.8,0.0,5.9
Safran,344.25,11.4,11.9,61.5,5.85
Saindoux,895.5,0.0,0.6,0.0,99.5
Sainte-Maure (fromage de chèvre),358.4,22.1,42.9,0.0,30.0
Sainte-Maure de Touraine (fromage de chèvre),296.2,19.6,53.4,0.0,24.2
Saint-Félicien,306.5,11.6,56.2,0.0,28.9
Saint-Marcellin,274.3,13.9,58.3,0.0,24.3
"Saint-Nectaire, fermier",357.4,22.3,0.0,0.0,29.8
"Saint-Nectaire, laitier",334.2,22.8,0.0,0.0,27.0
"Saint-Nectaire, sans précision",349.2,23.4,44.6,0.0,28.4
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme),301.2,22.2,46.3,0.0,23.6
"Saint-Pierre, cru",86.8,19.9,77.8,0.0,0.8
Saké ou Alcool de riz,20.0,0.0,78.4,5.0,0.0
"Salade composée avec viande ou poisson, appertisée, égouttée",105.54,8.06,76.7,6.4,5.3
"Salade de chou ou Coleslaw, avec sauce, préemballée",99.78,0.94,80.4,5.78,8.1
"Salade de fruits, crue",59.22,0.61,77.9,13.7,0.22
"Salade de pâtes aux légumes, avec poisson ou viande",166.22,5.19,70.3,14.0,9.94
"Salade de pâtes, végétarienne",147.3,5.7,73.9,12.9,8.1
"Salade de pomme de terre à la piémontaise, préemballée",131.88,4.11,74.9,7.98,9.28
Salade de pommes de terre maison,124.12,2.68,76.0,9.9,8.2
Salade de riz,124.07,5.13,72.5,16.1,4.35
"Salade de thon et légumes, appertisée, égouttée",109.86,9.15,76.5,7.74,4.7
"Salade ou chicorée frisée, crue",17.77,1.48,92.9,2.4,0.25
"Salade verte, crue, sans assaisonnement",10.94,1.01,96.1,1.5,0.1
Salami,451.76,16.3,33.2,2.59,41.8
Salami porc et boeuf,351.44,21.5,43.2,1.56,28.8
Salami pur porc,398.58,22.6,36.2,1.22,33.7
Salami type danois,459.9,17.1,36.8,1.35,42.9
Salers,393.0,27.6,38.6,0.0,31.4
"Salicorne (Salicornia sp.), fraîche",9.24,0.67,92.2,1.1,0.24
"Salsifis noir, cru",76.47,3.21,77.0,15.3,0.27
"Salsifis, appertisé, égoutté",24.03,1.42,91.5,4.25,0.15
"Salsifis, cuit",59.01,2.07,0.0,12.3,0.17
"Salsifis, surgelé, cru",27.31,2.34,85.8,4.15,0.15
Samossas ou Samoussas,233.02,9.33,55.2,18.1,13.7
"Sandre, cru",82.92,18.3,78.4,0.0,1.08
Sandwich (aliment moyen),44.0,11.0,0.0,0.0,0.0
Sandwich baguette (aliment moyen),283.3,10.7,40.6,32.0,12.5
"Sandwich baguette, camembert, beurre",336.0,11.9,33.2,34.3,16.8
"Sandwich baguette, crudités diverses, mayonnaise",248.26,6.54,49.7,30.1,11.3
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",301.1,12.4,40.2,31.6,13.9
"Sandwich baguette, jambon emmental",278.7,13.3,41.3,26.9,13.1
"Sandwich baguette, jambon, beurre",276.9,11.0,39.9,33.7,10.9
"Sandwich baguette, jambon, emmental, beurre",285.1,13.4,38.8,31.1,11.9
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",217.84,10.1,49.2,31.4,5.76
"Sandwich baguette, merguez, ketchup moutarde",272.3,13.1,40.9,30.0,11.1
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",280.78,8.52,43.4,32.2,13.1
"Sandwich baguette, pâté, cornichons",249.1,10.1,46.7,29.0,10.3
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",298.2,12.0,41.2,30.6,14.2
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",269.01,10.2,40.2,36.6,9.09
"Sandwich baguette, salami, beurre",388.9,12.5,26.9,35.0,22.1
"Sandwich baguette, saucisson, beurre",373.7,13.7,27.0,32.7,20.9
"Sandwich baguette, saumon fumé, beurre",261.69,11.5,37.4,41.3,5.61
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",270.9,10.3,43.0,32.0,11.3
"Sandwich baguette, thon, maïs, crudités",189.75,8.87,54.6,25.0,6.03
"Sandwich grec ou Kebab, baguette, crudités",260.07,13.0,44.5,29.9,9.83
"Sandwich grec ou Kebab, pita, crudités",228.5,15.2,51.8,17.4,10.9
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel",236.8,10.0,0.0,23.1,11.6
"Sandwich pain de mie complet, jambon, fromage",287.4,12.9,0.0,26.1,14.6
"Sandwich pain de mie complet, poulet, crudités, mayonnaise",225.12,9.18,0.0,23.7,10.4
"Sandwich pain de mie complet, thon, crudités, mayonnaise",233.38,9.82,0.0,23.1,11.3
"Sandwich pain de mie, garnitures diverses",258.8,11.7,45.0,25.1,12.4
"Sandwich panini, jambon cru, mozzarella, tomates",251.95,17.0,46.6,27.2,8.35
"Sang, boeuf, cru",82.28,19.5,80.5,0.8,0.12
"Sanglier, cru",146.97,20.7,70.0,0.0,7.13
"Sanglier, rôti/cuit au four",152.62,28.3,63.9,0.0,4.38
Sangria,40.75,0.35,83.4,9.59,0.11
"Sardine, à l'huile d'olive, appertisée, égouttée",202.24,24.3,60.1,1.06,11.2
"Sardine, à l'huile, appertisée, égouttée",207.56,24.4,60.5,0.49,12.0
"Sardine, crue",162.52,19.3,64.0,0.0,9.48
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",213.58,21.5,61.4,0.62,13.9
"Sardine, grillée",192.4,24.7,64.0,0.0,10.4
"Sardine, sauce tomate, appertisée, égouttée",190.72,20.2,64.9,1.38,11.6
"Sarrasin entier, cru",342.35,13.0,10.1,64.6,3.55
"Sarriette, séchée",172.11,6.73,9.0,23.0,5.91
Sauce à la crème,77.51,1.08,86.3,5.9,5.51
Sauce à la crème aux épices,78.94,1.16,84.8,6.2,5.5
Sauce à la crème aux herbes,73.58,1.09,86.1,5.2,5.38
"Sauce à l'échalote à la crème, préemballée",104.17,1.7,0.0,11.9,5.53
"Sauce aigre douce, préemballée",84.4,0.55,78.0,20.1,0.2
"Sauce aïoli, préemballée",392.32,1.13,0.0,4.7,41.0
"Sauce américaine, préemballée",419.8,1.42,45.7,9.48,41.8
"Sauce armoricaine, préemballée",83.6,2.1,86.2,3.95,6.6
"Sauce au beurre blanc, préemballée",173.24,0.93,0.0,4.58,16.8
"Sauce au beurre, préemballée",190.7,2.2,75.3,5.2,17.9
Sauce au chocolat,271.2,3.8,0.0,26.2,16.8
"Sauce au curry, préemballée",74.92,1.02,81.1,10.6,3.16
"Sauce au fromage pour risotto ou pâtes, préemballée",115.17,3.11,82.9,4.24,9.53
"Sauce au poivre vert, préemballée",81.3,1.3,0.0,5.3,6.1
"Sauce au poivre, chaude, préemballée",157.44,1.26,75.7,4.8,14.8
"Sauce au poivre, condimentaire, froide, préemballée",490.48,0.97,36.0,6.0,51.4
"Sauce au roquefort, préemballée",127.1,2.85,80.9,4.4,10.9
Sauce au vin rouge,50.5,0.81,88.9,7.0,2.14
Sauce au yaourt,95.91,3.64,79.4,4.79,6.91
"Sauce aux champignons et à la crème, préemballée",88.87,1.08,0.0,5.14,7.11
"Sauce aux champignons, préemballée",94.34,3.2,83.8,6.3,6.26
"Sauce barbecue, préemballée",135.87,0.73,57.8,32.0,0.55
"Sauce basquaise ou Sauce aux poivrons, préemballée",58.71,1.17,0.0,7.41,2.71
"Sauce béarnaise, préemballée",452.14,1.19,43.6,4.52,47.7
"Sauce béchamel, maison",146.64,3.84,74.9,8.97,10.6
"Sauce béchamel, préemballée",89.26,2.31,81.3,7.27,5.66
"Sauce bourguignonne, préemballée",431.42,1.23,46.3,7.85,43.9
"Sauce burger, préemballée",361.64,1.06,0.0,13.3,33.8
"Sauce carbonara, préemballée",154.68,5.17,0.0,4.7,12.8
"Sauce chasseur, préemballée",37.97,1.21,91.0,4.66,1.61
Sauce chaude (aliment moyen),120.34,2.56,79.2,7.05,9.1
"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée",160.78,0.76,71.4,7.26,14.3
"Sauce crudités ou Sauce salade, préemballée",302.74,0.86,61.8,5.3,30.9
"Sauce grand veneur, préemballée",102.8,1.5,0.0,8.45,7.0
"Sauce hollandaise, préemballée",201.08,1.14,72.5,4.58,19.8
"Sauce indienne type tandoori ou tikka masala, préemballée",82.9,2.6,0.0,14.3,1.7
"Sauce kebab, préemballée",289.4,1.1,61.2,9.15,27.6
"Sauce madère, préemballée",36.6,0.6,0.0,3.6,2.2
"Sauce moutarde, préemballée",225.04,1.66,65.4,3.3,22.8
"Sauce Nuoc Mâm ou Sauce au poisson, préemballée",80.8,9.3,0.0,10.9,0.0
"Sauce pesto rosso, préemballée",296.52,4.8,0.0,8.58,27.0
"Sauce pesto, préemballée",363.44,4.61,46.6,6.6,35.4
"Sauce rouille, préemballée",381.0,1.1,0.0,1.0,41.4
"Sauce soja, préemballée",44.54,7.08,68.8,3.83,0.1
"Sauce tartare, préemballée",517.32,0.98,37.1,4.6,55.0
"Sauce teriyaki, préemballée",88.82,3.82,67.7,16.0,1.06
"Sauce tomate à la viande ou Sauce bolognaise, préemballée",89.25,4.22,82.4,7.27,4.81
"Sauce tomate au fromage, préemballée",175.92,3.94,0.0,8.09,14.2
"Sauce tomate aux champignons, préemballée",62.24,1.75,86.5,7.78,2.68
"Sauce tomate aux oignons, préemballée",74.46,1.52,84.7,7.69,4.18
"Sauce tomate aux olives, préemballée",101.48,1.4,81.4,7.5,7.32
"Sauce tomate aux petits légumes, préemballée",62.54,1.54,0.0,7.57,2.9
"Sauce vinaigrette (50 à 75% d'huile), préemballée",492.0,0.54,40.4,4.56,52.4
"Sauce vinaigrette allégée en MG (25 à 50% d'huile), préemballée",263.98,0.48,68.2,3.64,27.5
Saucisse (aliment moyen),288.44,17.4,55.4,1.16,23.8
Saucisse alsacienne fumée ou Gendarme,300.1,19.0,49.5,0.0,24.9
Saucisse cocktail,289.74,12.7,59.5,1.46,25.9
Saucisse de bière,319.3,13.0,53.6,0.0,29.7
Saucisse de foie,373.5,11.7,50.7,0.9,35.9
Saucisse de Francfort,270.36,13.7,56.7,1.24,23.4
Saucisse de jambon pur porc,224.3,15.7,60.8,1.0,17.5
Saucisse de langue à la pistache,293.4,15.3,55.6,0.0,25.8
Saucisse de Montbéliard,318.9,17.3,50.5,1.0,27.3
Saucisse de Morteau,397.4,16.0,43.7,1.0,36.6
"Saucisse de Morteau, bouillie/cuite à l'eau",322.7,15.2,49.6,0.0,29.1
Saucisse de Strasbourg ou Knack,288.26,12.4,57.9,1.39,25.9
"Saucisse de Toulouse, crue",326.8,13.2,56.2,1.0,30.0
"Saucisse de Toulouse, cuite",278.1,18.8,54.9,1.0,22.1
"Saucisse de volaille, façon charcutière",226.46,15.6,59.8,1.19,17.7
"Saucisse de volaille, type Knack",255.58,12.8,0.0,1.82,21.9
Saucisse sèche,449.9,27.3,26.2,1.7,37.1
Saucisse suisse à cuire,323.36,15.0,51.3,0.59,29.0
"Saucisse viennoise, crue",232.9,10.3,56.8,0.0,21.3
Saucisson à l'ail,274.64,15.0,57.2,0.56,23.6
"Saucisson brioché, cuit",299.0,14.7,42.4,20.9,17.4
Saucisson cuit pur porc,321.4,13.8,52.1,1.3,29.0
